encoder,opn,pre_type,use_static,use_cl,use_path,path_level,path_dim,path_layers,path_batch_size,path_gamma,seed,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,False,2,32,2,16,,123,0,2026-06-22 02:15:41.035741,0.9,7,7,0.03,0.001,200,0.5027773976325989,0.390991747379303,0.5624746084213257,0.7183557152748108,0.4729951322078705,0.3610093593597412,0.5316781997680664,0.6947497129440308,0.4757624566555023,0.35870303213596344,0.5388007164001465,0.7035680711269379,0.4878862500190735,0.3760005533695221,0.547076404094696,0.7065527141094208
uvrgcn,sub,all,True,True,False,2,32,2,16,,42,0,2026-06-22 03:36:24.178484,0.9,7,7,0.03,0.001,200,0.5054192543029785,0.39628273248672485,0.5608465671539307,0.7146927118301392,0.46822911500930786,0.3569393754005432,0.525573194026947,0.684846043586731,0.4740287661552429,0.35836388170719147,0.5345950424671173,0.6969882249832153,0.4868241846561432,0.37661105394363403,0.5432098805904388,0.6997693777084351
uvrgcn,sub,all,True,True,False,2,32,2,16,,2023,0,2026-06-22 04:47:21.178952,0.9,7,7,0.03,0.001,200,0.5123662352561951,0.40008142590522766,0.5760412812232971,0.7229683995246887,0.46995723247528076,0.35558271408081055,0.5311355590820312,0.6901370286941528,0.47801142930984497,0.359245702624321,0.5437525510787964,0.7034324109554291,0.4911617338657379,0.3778320699930191,0.5535884201526642,0.7065527141094208
uvrgcn,sub,all,True,True,True,2,32,2,128,0.2975724935531616,123,0,2026-06-22 09:45:22.987492,0.9,7,7,0.03,0.001,200,0.5577722191810608,0.4500068128108978,0.6233890056610107,0.752136766910553,0.5191823840141296,0.40795010328292847,0.5844526290893555,0.7286664247512817,0.5221258401870728,0.40503326058387756,0.5936779379844666,0.7380952537059784,0.5384773015975952,0.42897845804691315,0.6039208173751831,0.7404015958309174
uvrgcn,sub,all,True,True,True,2,32,2,128,0.2812129259109497,42,0,2026-06-22 11:03:34.767939,0.9,7,7,0.03,0.001,200,0.5521281957626343,0.4471578001976013,0.6140279769897461,0.7486094236373901,0.5128332376480103,0.4026590883731842,0.5759056210517883,0.7214760780334473,0.5160745978355408,0.40035274624824524,0.5851309597492218,0.7321259379386902,0.5324807167053223,0.42490844428539276,0.5949667990207672,0.7350427508354187
uvrgcn,sub,all,True,True,True,2,32,2,128,-0.33601418137550354,2023,0,2026-06-22 12:47:23.944297,0.9,7,7,0.03,0.001,200,0.5520507097244263,0.4453941285610199,0.6145706176757812,0.7518654465675354,0.516034722328186,0.4095780849456787,0.5752272605895996,0.7222900986671448,0.5170601606369019,0.4019807428121567,0.5854022800922394,0.7351106107234955,0.5340427160263062,0.4274861067533493,0.5948989391326904,0.7370777726173401
uvrgcn,sub,all,True,True,True,1,32,2,16,-0.17925143241882324,123,0,2026-06-23 02:35:29.156634,0.9,7,7,0.03,0.001,200,0.5495471358299255,0.4434947967529297,0.6117216348648071,0.743996798992157,0.5098189115524292,0.4010310769081116,0.5712929368019104,0.7149640917778015,0.513216495513916,0.3976394087076187,0.5825532674789429,0.7270384132862091,0.529682993888855,0.42226293683052063,0.5915072858333588,0.7294804453849792
