encoder,opn,pre_type,use_static,use_cl,use_path,path_level,path_dim,path_layers,path_batch_size,path_gamma,seed,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,True,2,32,2,128,-0.37701016664505005,123,0,2026-06-25 03:42:52.196685,0.9,7,7,0.03,0.001,200,0.40532630681991577,0.2904632091522217,0.4604097306728363,0.6293874382972717,0.3691524863243103,0.2591785192489624,0.41410839557647705,0.5907962322235107,0.364053338766098,0.244393989443779,0.41759008169174194,0.602381706237793,0.38723939657211304,0.27482086420059204,0.4372590631246567,0.6100918352603912
uvrgcn,sub,all,True,True,False,2,32,2,16,,123,0,2026-06-28 13:11:16.351557,0.9,7,7,0.03,0.001,200,0.37415099143981934,0.2588757872581482,0.4259360432624817,0.5980825424194336,0.33814603090286255,0.22958926856517792,0.3794328570365906,0.5583005547523499,0.33695149421691895,0.2198910191655159,0.3861842751502991,0.5704208314418793,0.35614851117134094,0.24423252791166306,0.40268445014953613,0.5781915485858917
