encoder,opn,pre_type,use_static,use_cl,use_path,path_level,path_dim,path_layers,path_batch_size,path_gamma,seed,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,True,2,32,2,128,-0.13509008288383484,123,0,2026-06-25 06:23:30.237019,0.9,9,9,0.07,0.001,200,0.6155043244361877,0.5108646154403687,0.6808422803878784,0.8125609159469604,0.580052375793457,0.47449034452438354,0.6464177966117859,0.7771615386009216,0.5771405696868896,0.45937952399253845,0.6547152101993561,0.7935613989830017,0.5977783203125,0.4926774799823761,0.6636300384998322,0.794861227273941
uvrgcn,sub,all,True,True,False,2,32,2,16,,123,0,2026-06-26 00:02:53.287252,0.9,9,9,0.07,0.001,200,0.5893038511276245,0.4807729721069336,0.6541953086853027,0.7964427471160889,0.5555054545402527,0.4456985592842102,0.6226304769515991,0.763664722442627,0.5532350540161133,0.43257002532482147,0.6289780735969543,0.7786022424697876,0.5724046230316162,0.4632357656955719,0.6384128928184509,0.7800537347793579
